SITE,SNCSadj,SUBAREA,CHAN,UNIT,CHANWID,uparea,elev,grad,discharge,width,depth,sinu,val_width,fp_width,flowvel,bf_flow,strmpow,vwi,valcnstrnt,gp_warm,gp_cool,gp_avg,rsf,count1k,count5k,count10k,sub1k,sub5k,sub10k,SUBCAT,TR,ME,BA,BK
NF02,0,2.7,main,run,21.9,309.11,314.68,0,0.31,2.17,0.69,1.01,711.48,645.93,0.59,0.9,0.88,327.42,297.15,3.8,2.73,3.26,0,3,28,64,44.85,1157.47,6924.42,SMALL,0,0,0,1
NF03,0,17.55,main,run,19.1,309.18,315.48,0,0.31,2.19,0.69,1.03,179.14,146.76,0.6,0.91,0.89,81.69,66.9,3.8,2.73,3.26,0,3,28,64,44.85,1157.47,6924.42,SMALL,1,0,1,0
NF04,0,17.1,main,riffle,21.6,310.04,316.98,0,0.31,2.18,0.69,1,90.8,67.22,0.59,0.91,0.89,41.65,30.86,3.8,2.73,3.26,0,2,33,65,25.74,1318.8,6924.42,SMALL,0,0,0,1
NF06,0,6.97,secondary,glide,13.3,313.72,315.97,0,0.32,2.21,0.69,1,376.73,267.28,0.6,0.93,0.91,170.47,121.04,3.8,2.73,3.26,0,11,43,70,250.05,5298.49,7024.34,SMALL,0,0,1,0
NF08,0,23.4,main,pool,9.7,313.79,314.53,0,0.32,2.2,0.69,1.03,774.99,766.04,0.6,0.93,0.91,350.69,346.67,3.8,2.73,3.26,0,11,44,70,250.05,5336.65,7024.34,SMALL,1,0,0,1
NF10,0,22.05,secondary,run,23,314.82,320.94,0.02,0.31,2.19,0.69,1.13,187.99,94.77,2.75,4.24,872.92,85.5,43.12,3.8,2.73,3.26,0,12,48,70,320.01,5573.51,7024.34,SMALL,1,0,0,1
NF11,1,53.77,main,riffle,17.6,314.86,320.93,4.00E-03,0.31,2.19,0.69,1.01,76.16,57.51,1.2,1.84,72.23,34.77,26.21,3.8,2.73,3.26,0,11,54,70,311.37,6088.43,7024.34,MEDIUM,0,0,1,0
NF16,0,4.41,main,riffle,17.3,315.33,313.99,0,0.31,2.19,0.7,1.06,301.06,285.89,0.6,0.92,0.9,137.41,130.46,3.8,2.73,3.26,0,14,58,71,362.95,6758.5,7030.64,SMALL,1,0,1,0
NF17,4,69.96,main,glide,9.2,316.9,314.09,0,0.32,2.2,0.7,1.04,166.33,88.56,0.6,0.93,0.91,75.3,40.08,3.8,2.73,3.26,0,13,60,71,407.13,6865.42,7030.64,MEDIUM,1,0,1,0
NF23,1,10.37,secondary,riffle,17.1,317.56,314.37,0,0.32,2.2,0.7,1.04,125.73,72.2,0.6,0.93,0.91,57.04,32.75,3.8,2.73,3.26,0,14,60,78,898.57,6855.37,7788.18,SMALL,1,0,0,1
