Strata,Reach,logjamCode,Date,Easting,Northing,Recruits,LogjamBank,Bank,TR,BO,ME,BA,BK,BB,Bridge,Width,Length,SubArea,SubAreaCat,LogjamSize,Size,Diameter,Morphology,Morph2,Channel,Burn,Bare,Bark,LLN,Submerged,WettedWidth,Fish,Cspresence,GR,SC,WF,LS,LUS
Headwater,Upper Mainstem,UM65,6/9/17,535607,7203436,0,all,A,1,0,0,0,0,0,1,5,23,86.25,MEDIUM,M,2,2,run,run,main,0,25,75,10,75,6.6,0,0,,,,,
Headwater,Upper Mainstem,UM01,6/8/17,538396,7214054,29,middle,M,0,0,0,1,0,0,1,4,5.2,14.56,SMALL,S,2,1,riffle,riffle,main,0,60,40,0,70,29.8,0,0,0,0,0,0,0
Headwater,Upper Mainstem,UM30,6/8/17,536794,7210034,13,right,R,0,0,0,0,0,0,1,4,14.5,29,SMALL,S,2,1,riffle,riffle,main,0,65,35,0,50,27.5,1,1,,,,,
Lower Mainstem,Lower Mainstem,LM16,6/29/17,469162,7191154,0,right,R,0,0,0,0,0,0,1,10,14,56,MEDIUM,M,3,2,pool,pool,main,0,80,20,0,40,49.5,1,1,0,0,0,0,1
Lower Mainstem,Lower Mainstem,LM12,6/29/17,472657,7189971,11,right,R,0,0,0,0,0,0,1,10,18,135,MEDIUM,M,4,2,pool,pool,main,0,90,10,0,75,47.5,1,1,1,0,0,0,1
Headwater,North Fork,NF52,6/7/17,538761,7214484,0,all,A,1,0,0,0,1,0,0,10,17,153,LARGE,L,2,2,tailout,glide,main,0,65,35,25,90,10.5,1,0,1,0,0,0,0
Headwater,Upper Mainstem,UM74,6/9/17,535626,7202994,0,mid,M,0,0,0,1,0,0,0,13,15,156,LARGE,L,3,2,riffle,riffle,main,0,60,40,20,80,18.9,1,1,,,,,
Headwater,Upper Mainstem,UM78,6/12/17,535388,7202388,1,right,R,0,0,0,1,0,0,0,6,38,182.4,LARGE,L,3,2,riffle,riffle,secondary,0,75,25,5,80,34,1,1,1,1,,,
Headwater,Upper Mainstem,UM68,6/9/17,535653,7203340,0,left,L,0,0,1,1,0,0,0,14,21,220.5,LARGE,L,3,2,run,run,main,0,95,5,0,75,17.3,1,,1,,,,
Headwater,North Fork,NF41,6/7/17,539136,7214818,4,left,L,1,0,1,0,1,0,0,10,23,230,LARGE,L,2,2,pool,pool,main,0,65,35,15,100,10.3,1,0,1,0,0,0,0
Headwater,Upper Mainstem,UM66,6/9/17,535588,7203361,3,right,R,1,0,1,0,0,0,0,7,38,252.7,LARGE,L,3,2,glide,glide,main,0,80,20,20,95,13.6,1,1,,,,,
Headwater,Upper Mainstem,UM24,6/8/17,537086,7211120,0,all,A,1,0,0,0,1,0,0,10,35,262.5,LARGE,L,4,2,pool,pool,main,10,90,10,10,75,13.3,1,,1,1,,,
Headwater,Upper Mainstem,UM79,6/12/17,535522,7202032,9,left,L,1,0,1,0,1,0,0,7.4,39.1,274.873,LARGE,L,3,1,pool,pool,main,0,75,25,10,95,11.1,1,,1,,,,
Headwater,North Fork,NF57,6/7/17,538734,7214237,0,left,L,1,0,1,0,1,0,0,8,39,280.8,LARGE,L,3,2,pool,pool,main,0,85,15,5,90,13.6,1,0,1,0,0,0,0
Headwater,Upper Mainstem,UM73,6/9/17,535591,7203057,4,mid,M,1,0,0,0,0,0,0,17,17,289,LARGE,L,2,2,glide,glide,main,0,70,30,30,100,16.9,1,,1,,,,
Headwater,Upper Mainstem,UM46,6/9/17,536156,7205842,4,right,R,1,0,1,0,0,0,0,9.5,33,297.825,LARGE,L,3,3,pool,pool,main,0,30,70,40,95,12.2,1,,1,,,,
Headwater,North Fork,NF59,6/7/17,538704,7214295,1,right,R,0,0,0,0,1,0,0,9,45,303.75,LARGE,L,4,2,pool,pool,main,0,95,5,5,75,12.2,1,0,1,0,0,0,0
Headwater,Upper Mainstem,UM47,6/9/17,5369194,7205773,4,right,R,0,0,0,1,1,0,0,12,38,410.4,LARGE,L,2,2,tailout,glide,main,0,0,100,100,90,23.7,1,0,1,,1,,
Headwater,Upper Mainstem,UM13,6/8/17,537296,7211444,13,left,L,0,0,1,0,0,0,0,16,28,425.6,LARGE,L,4,2,pool,pool,main,0,50,50,10,95,16.9,1,0,1,0,0,0,0
